Subset1 Years, n, Mean, StdDev, CV, Max, Min, Subset2 Years, n, Mean, StdDev, CV, Max, Min
50-50, 11, 1522.18, 152.89, 10.0442, 1740, 1260, 100-1800, 81, 1153.83, 234.368, 20.3122, 1587, 650
50-100, 27, 1460.63, 142.361, 9.74656, 1740, 1258, 150-1800, 65, 1088.72, 208.832, 19.1814, 1550, 650
50-150, 33, 1436.42, 154.223, 10.7366, 1740, 1065, 200-1800, 59, 1064.44, 197.748, 18.5776, 1450, 650
50-200, 43, 1403.53, 154.618, 11.0163, 1740, 1065, 250-1800, 49, 1017.39, 179.426, 17.6359, 1430, 650
50-250, 58, 1335.36, 183.851, 13.7679, 1740, 917, 300-1800, 34, 963.324, 179.303, 18.613, 1430, 650
50-300, 62, 1326.56, 186.18, 14.0348, 1740, 917, 400-1800, 30, 931.9, 155.16, 16.6499, 1300, 650
50-400, 65, 1312.18, 194.574, 14.8282, 1740, 880, 600-1800, 27, 922.667, 156.97, 17.0127, 1300, 650
50-600, 73, 1285.51, 203.406, 15.823, 1740, 850, 700-1800, 19, 861.158, 122.545, 14.2302, 1067, 650
50-700, 75, 1277.52, 206.721, 16.1814, 1740, 850, 900-1800, 17, 846.471, 118.918, 14.0487, 1067, 650
50-900, 77, 1265.21, 217.853, 17.2188, 1740, 727, 1000-1800, 15, 852.2, 122.343, 14.3561, 1067, 650
50-1000, 80, 1250.47, 227.107, 18.1617, 1740, 727, 1100-1800, 12, 847.167, 128.098, 15.1207, 1067, 650
50-1100, 82, 1242.4, 231.086, 18.6, 1740, 727, 1200-1800, 10, 832.7, 120.594, 14.4823, 1067, 650
50-1200, 85, 1232.58, 233.153, 18.9159, 1740, 727, 1500-1800, 7, 776.429, 87.9283, 11.3247, 900, 650
50-1500, 87, 1223.28, 238.319, 19.482, 1740, 727, 1600-1800, 5, 755.8, 95.7839, 12.6732, 900, 650
50-1600, 88, 1219.6, 239.426, 19.6315, 1740, 727, 1700-1800, 4, 719.75, 70.4996, 9.79501, 804, 650
50-1700, 90, 1208.33, 248.445, 20.561, 1740, 650, 1800-1800, 2, 727, 77, 10.5915, 804, 650
